"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-319U2/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.049807119, [2463, -172]
2023-09-24_04:54:00.049905747, [2650, -182]
2023-09-24_04:54:00.050004375, [2443, -145]
2023-09-24_04:54:00.050103003, [2384, -166]
2023-09-24_04:54:00.050201631, [2439, -177]
2023-09-24_04:54:00.050300259, [2406, -144]
2023-09-24_04:54:00.050398887, [2861, -287]
2023-09-24_04:54:00.050497515, [3591, -389]
2023-09-24_04:54:00.050596143, [3916, -310]
2023-09-24_04:54:00.050694771, [3784, -115]
2023-09-24_04:54:00.050793399, [4136, 37]
2023-09-24_04:54:00.050892027, [4882, -63]
2023-09-24_04:54:00.050990655, [5289, -135]
2023-09-24_04:54:00.051089283, [5031, -131]
2023-09-24_04:54:00.051187911, [4423, -214]
2023-09-24_04:54:00.051286539, [4303, -239]
2023-09-24_04:54:00.051385167, [4320, -100]
2023-09-24_04:54:00.051483795, [4658, -67]
2023-09-24_04:54:00.051582423, [5278, -185]
2023-09-24_04:54:00.051681051, [5343, -263]
2023-09-24_04:54:00.051779679, [5503, -244]
2023-09-24_04:54:00.051878307, [5543, -156]
2023-09-24_04:54:00.051976935, [5080, -205]
2023-09-24_04:54:00.052075562, [5136, -336]
2023-09-24_04:54:00.052174190, [5700, -302]
2023-09-24_04:54:00.052272818, [6093, -268]
2023-09-24_04:54:00.052371446, [5810, -203]
2023-09-24_04:54:00.052470074, [4966, -137]
2023-09-24_04:54:00.052568702, [4597, -118]
2023-09-24_04:54:00.052667330, [4791, -61]
2023-09-24_04:54:00.052765958, [5124, -80]
2023-09-24_04:54:00.052864586, [5624, -40]
2023-09-24_04:54:00.052963214, [5904, 52]
2023-09-24_04:54:00.053061842, [5679, 73]
2023-09-24_04:54:00.053160470, [5274, 94]
2023-09-24_04:54:00.053259098, [5359, 93]
